Food group,Variable,Value,Commodity
Fruit (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population,Away from home-Fast food-2015–16,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Children age 2–19,Away from home-Fast food-2015–16,0.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,0.27,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,0.17,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,0.19,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,0.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population,Away from home-Fast food-2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Children age 2–19,Away from home-Fast food-2015–16,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,Away from home-Fast food-2015–16,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,Away from home-Fast food-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population,Away from home-Fast food-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,Away from home-Fast food-2015–16,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,Away from home-Fast food-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,Away from home-Fast food-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
